Date,AALI.JK,BISI.JK,CPIN.JK,JPFA.JK,ICBP.JK,INDF.JK,^JKSE
2023-01-02,6741.8466796875,1368.67041015625,5175.3720703125,1113.41796875,9194.427734375,5791.74462890625,6850.98388671875
2023-01-03,6888.40869140625,1372.9609375,5266.56787109375,1130.0361328125,9217.0751953125,5770.373046875,6888.7578125
2023-01-04,6804.6591796875,1360.0894775390625,5175.3720703125,1138.3453369140625,9149.1357421875,5855.8603515625,6813.23876953125
2023-01-05,6637.15966796875,1334.346435546875,5334.96435546875,1125.881591796875,9262.3662109375,5855.8603515625,6653.8408203125
2023-01-06,6699.97216796875,1330.0557861328125,5471.75927734375,1146.654296875,9217.0751953125,5941.34716796875,6684.55810546875
2023-01-09,6720.9091796875,1317.184326171875,5699.7490234375,1142.4998779296875,9239.720703125,5941.34716796875,6688.26513671875
2023-01-10,6699.97216796875,1317.184326171875,5699.7490234375,1130.0361328125,9239.720703125,5706.25830078125,6622.4990234375
2023-01-11,6637.15966796875,1317.184326171875,5676.9501953125,1130.0361328125,9534.1240234375,5706.25830078125,6584.453125
2023-01-12,6679.0341796875,1317.184326171875,5676.9501953125,1092.6453857421875,9466.1845703125,5663.51416015625,6629.93408203125
2023-01-13,6637.15966796875,1304.3128662109375,5654.15087890625,1105.10888671875,9466.1845703125,5727.6298828125,6641.830078125
2023-01-16,6699.97216796875,1312.8939208984375,5631.35205078125,1092.6453857421875,9420.8916015625,5727.6298828125,6688.05712890625
2023-01-17,6720.9091796875,1351.50830078125,5585.75390625,1092.6453857421875,9375.599609375,5834.48828125,6767.33984375
2023-01-18,6783.72216796875,1355.799072265625,5585.75390625,1071.87255859375,9488.8310546875,5941.34716796875,6765.7861328125
2023-01-19,6804.6591796875,1355.799072265625,5517.35693359375,1076.027099609375,9511.4775390625,5877.2314453125,6819.9072265625
2023-01-20,6762.78369140625,1360.0894775390625,5426.16162109375,1088.49072265625,9511.4775390625,5877.2314453125,6874.93115234375
2023-01-24,6762.78369140625,1364.3800048828125,5448.96044921875,1092.6453857421875,9420.8916015625,5919.9755859375,6860.85400390625
2023-01-25,6783.72216796875,1364.3800048828125,5357.763671875,1092.6453857421875,9443.5390625,5813.11669921875,6829.93017578125
2023-01-26,6846.5341796875,1364.3800048828125,5426.16162109375,1117.572509765625,9126.4892578125,5727.6298828125,6864.81787109375
2023-01-27,6846.5341796875,1360.0894775390625,5334.96435546875,1113.41796875,9058.5498046875,5727.6298828125,6898.98095703125
2023-01-30,6804.6591796875,1351.50830078125,5357.763671875,1117.572509765625,9149.1357421875,5813.11669921875,6872.48095703125
2023-01-31,6888.40869140625,1351.50830078125,5312.166015625,1121.7271728515625,9149.1357421875,5749.001953125,6839.341796875
2023-02-01,6867.470703125,1364.3800048828125,5357.763671875,1113.41796875,9398.24609375,5684.8857421875,6862.2578125
2023-02-02,6909.345703125,1424.447021484375,5289.3671875,1125.881591796875,9285.0146484375,5642.142578125,6890.57177734375
2023-02-03,6825.5966796875,1480.2235107421875,5312.166015625,1134.1907958984375,9488.8310546875,5727.6298828125,6911.73193359375
2023-02-06,6846.5341796875,1441.60888671875,5289.3671875,1138.3453369140625,9307.66015625,5706.25830078125,6873.791015625
2023-02-07,6804.6591796875,1454.4805908203125,5334.96435546875,1134.1907958984375,9307.66015625,5706.25830078125,6935.30078125
2023-02-08,6867.470703125,1454.4805908203125,5243.76904296875,1142.4998779296875,9352.9521484375,5813.11669921875,6940.1240234375
