tanggal,ticker,harga,MA20,MA50,RSI14,tahap_rantai_pasok
2023-01-02,AALI.JK,6741.8466796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-03,AALI.JK,6888.40869140625,,,,Hulu (Pertanian/Perkebunan)
2023-01-04,AALI.JK,6804.6591796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-05,AALI.JK,6637.15966796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-06,AALI.JK,6699.97216796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-09,AALI.JK,6720.9091796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-10,AALI.JK,6699.97216796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-11,AALI.JK,6637.15966796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-12,AALI.JK,6679.0341796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-13,AALI.JK,6637.15966796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-16,AALI.JK,6699.97216796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-17,AALI.JK,6720.9091796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-18,AALI.JK,6783.72216796875,,,,Hulu (Pertanian/Perkebunan)
2023-01-19,AALI.JK,6804.6591796875,,,53.846172245370475,Hulu (Pertanian/Perkebunan)
2023-01-20,AALI.JK,6762.78369140625,,,51.2194886105412,Hulu (Pertanian/Perkebunan)
2023-01-24,AALI.JK,6762.78369140625,,,41.176434275272754,Hulu (Pertanian/Perkebunan)
2023-01-25,AALI.JK,6783.72216796875,,,48.38713074851968,Hulu (Pertanian/Perkebunan)
2023-01-26,AALI.JK,6846.5341796875,,,69.23077613046102,Hulu (Pertanian/Perkebunan)
2023-01-27,AALI.JK,6846.5341796875,,,65.21738689584754,Hulu (Pertanian/Perkebunan)
2023-01-30,AALI.JK,6804.6591796875,6748.1280517578125,,58.33334952843114,Hulu (Pertanian/Perkebunan)
2023-01-31,AALI.JK,6888.40869140625,6755.45615234375,,66.66660908410911,Hulu (Pertanian/Perkebunan)
2023-02-01,AALI.JK,6867.470703125,6754.409252929688,,71.99988059690355,Hulu (Pertanian/Perkebunan)
2023-02-02,AALI.JK,6909.345703125,6759.643579101563,,71.99990671641791,Hulu (Pertanian/Perkebunan)
2023-02-03,AALI.JK,6825.5966796875,6769.0654296875,,66.66663787541276,Hulu (Pertanian/Perkebunan)
2023-02-06,AALI.JK,6846.5341796875,6776.393530273437,,63.99996641787912,Hulu (Pertanian/Perkebunan)
2023-02-07,AALI.JK,6804.6591796875,6780.581030273437,,57.69230769230769,Hulu (Pertanian/Perkebunan)
2023-02-08,AALI.JK,6867.470703125,6788.95595703125,,57.69219384739303,Hulu (Pertanian/Perkebunan)
2023-02-09,AALI.JK,6825.5966796875,6798.3778076171875,,51.85185824992485,Hulu (Pertanian/Perkebunan)
2023-02-10,AALI.JK,6867.470703125,6807.799633789063,,59.25927205543842,Hulu (Pertanian/Perkebunan)
2023-02-13,AALI.JK,6846.5341796875,6818.268359375,,57.14295233089934,Hulu (Pertanian/Perkebunan)
2023-02-14,AALI.JK,6804.6591796875,6823.502709960938,,51.724112973850616,Hulu (Pertanian/Perkebunan)
2023-02-15,AALI.JK,6846.5341796875,6829.783959960938,,50.0,Hulu (Pertanian/Perkebunan)
2023-02-16,AALI.JK,7014.03271484375,6841.299487304687,,61.11110751217717,Hulu (Pertanian/Perkebunan)
2023-02-17,AALI.JK,7014.03271484375,6851.7681640625,,64.70591059649209,Hulu (Pertanian/Perkebunan)
2023-02-20,AALI.JK,7014.03271484375,6864.330615234375,,60.000015547408715,Hulu (Pertanian/Perkebunan)
2023-02-21,AALI.JK,6930.28369140625,6872.705615234375,,54.545538064698505,Hulu (Pertanian/Perkebunan)
2023-02-22,AALI.JK,6972.15771484375,6882.127392578125,,54.54547381915347,Hulu (Pertanian/Perkebunan)
2023-02-23,AALI.JK,6930.28369140625,6886.314868164062,,58.064581651637035,Hulu (Pertanian/Perkebunan)
2023-02-24,AALI.JK,7014.03271484375,6894.689794921875,,61.76475631747286,Hulu (Pertanian/Perkebunan)
2023-02-27,AALI.JK,7014.03271484375,6905.158471679688,,65.62510704074873,Hulu (Pertanian/Perkebunan)
2023-02-28,AALI.JK,6951.2216796875,6908.29912109375,,56.25016397743671,Hulu (Pertanian/Perkebunan)
2023-03-01,AALI.JK,7014.03271484375,6915.627221679688,,63.63646000513067,Hulu (Pertanian/Perkebunan)
2023-03-02,AALI.JK,7014.03271484375,6920.861572265625,,61.29044634575151,Hulu (Pertanian/Perkebunan)
2023-03-03,AALI.JK,6993.09619140625,6929.236547851562,,61.29044634575151,Hulu (Pertanian/Perkebunan)
2023-03-06,AALI.JK,6951.2216796875,6934.470922851562,,61.29049245444834,Hulu (Pertanian/Perkebunan)
2023-03-07,AALI.JK,6825.5966796875,6935.517797851562,,48.57140953370914,Hulu (Pertanian/Perkebunan)
2023-03-08,AALI.JK,6720.9091796875,6928.189721679688,,28.124838300381228,Hulu (Pertanian/Perkebunan)
2023-03-09,AALI.JK,6741.8466796875,6924.002221679688,,30.302899670182043,Hulu (Pertanian/Perkebunan)
2023-03-10,AALI.JK,6783.72216796875,6919.814794921875,,34.285680017910636,Hulu (Pertanian/Perkebunan)
2023-03-13,AALI.JK,6804.6591796875,6917.721044921875,6837.32138671875,40.62493395377311,Hulu (Pertanian/Perkebunan)
2023-03-14,AALI.JK,6699.97216796875,6912.4866943359375,6836.483896484375,31.428531449520463,Hulu (Pertanian/Perkebunan)
2023-03-15,AALI.JK,6658.09716796875,6903.06484375,6831.877666015625,31.428489566814235,Hulu (Pertanian/Perkebunan)
2023-03-16,AALI.JK,6595.28466796875,6882.12744140625,6827.69017578125,20.588170737562677,Hulu (Pertanian/Perkebunan)
2023-03-17,AALI.JK,6595.28466796875,6861.1900390625,6826.85267578125,20.588170737562677,Hulu (Pertanian/Perkebunan)
2023-03-20,AALI.JK,6595.28466796875,6840.25263671875,6824.75892578125,22.580538384515435,Hulu (Pertanian/Perkebunan)
2023-03-21,AALI.JK,6616.22216796875,6824.549560546875,6822.665185546875,17.241434770441245,Hulu (Pertanian/Perkebunan)
2023-03-24,AALI.JK,6658.09716796875,6808.846533203125,6821.827685546875,22.58071310999371,Hulu (Pertanian/Perkebunan)
2023-03-27,AALI.JK,6762.78369140625,6800.471533203125,6824.340166015625,34.28567240317804,Hulu (Pertanian/Perkebunan)
2023-03-28,AALI.JK,6699.97216796875,6784.768505859375,6824.75892578125,33.333311739841605,Hulu (Pertanian/Perkebunan)
2023-03-29,AALI.JK,6783.72216796875,6773.252978515625,6827.69017578125,47.05884773803685,Hulu (Pertanian/Perkebunan)
2023-03-30,AALI.JK,6783.72216796875,6764.878002929688,6829.36517578125,55.17247479925855,Hulu (Pertanian/Perkebunan)
2023-03-31,AALI.JK,6783.72216796875,6753.362475585937,6830.621435546875,53.57148508914033,Hulu (Pertanian/Perkebunan)
2023-04-03,AALI.JK,6951.2216796875,6750.221923828125,6833.97142578125,61.764728073623054,Hulu (Pertanian/Perkebunan)
2023-04-04,AALI.JK,6930.28369140625,6747.081298828125,6836.483916015625,58.82352537699386,Hulu (Pertanian/Perkebunan)
